STABBR,STNAME,TOTPOP
AL,Alabama,4.863
AK,Alaska,0.741
AZ,Arizona,6.931
AR,Arkansas,2.988
CA,California,39.25
CO,Colorado,5.541
CT,Connecticut,3.576
DE,Delaware,0.952
DC,District of Columbia,0.681
FL,Florida,20.61
GA,Georgia,10.31
HI,Hawaii,1.429
ID,Idaho,1.683
IL,Illinois,12.8
IN,Indiana,6.633
IA,Iowa,3.135
KS,Kansas,2.907
KY,Kentucky,4.437
LA,Louisiana,4.682
ME,Maine,1.331
MD,Maryland,6.016
MA,Massachusetts,6.812
MI,Michigan,9.928
MN,Minnesota,5.52
MS,Mississippi,2.989
MO,Missouri,6.093
MT,Montana,1.043
NE,Nebraska,1.907
NV,Nevada,2.94
NH,New Hampshire,1.335
NJ,New Jersey,8.944
NM,New Mexico,2.081
NY,New York,8.538
NC,North Carolina,10.15
ND,North Dakota,0.758
OH,Ohio,11.61
OK,Oklahoma,3.924
OR,Oregon,4.093
PA,Pennsylvania,12.78
RI,Rhode Island,1.056
SC,South Carolina,4.961
SD,South Dakota,0.865
TN,Tennessee,6.651
TX,Texas,27.86
UT,Utah,3.051
VT,Vermont,0.625
VA,Virginia,8.412
WA,Washington,7.288
WV,West Virginia,1.831
WI,Wisconsin,5.779
WY,Wyoming,0.586
